Crop Type,Season,Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Wind Speed (km/h),Sunlight (hours),Disease Name
Corn,Spring,30.45823560661720,71.71047139869020,12.2041811605629,47.665739154878800,9.921243339256390,6.387276011313520,Northern Corn Leaf Blight
Corn,Summer,20.52945666276530,31.522377012956600,2.248028844619390,48.677373121303000,16.208491754483400,8.568619957612830,Blast
Tomato,Summer,26.212206930267500,47.95380998606770,37.00746628598500,27.568229245827200,6.429633857142030,7.357936012873530,Northern Corn Leaf Blight
Rice,Winter,20.454870493545700,30.949925221782900,36.68131933422370,20.684737280775600,12.041236540798300,10.410841584540700,Blast
Sorghum,Summer,15.59279373994930,53.3379620899463,14.247263455017300,53.68940586900280,10.671964910962200,6.023764714386730,Blast
Soybean,Winter,11.759658913570700,85.37693436822780,17.88879127533680,41.74417992062510,22.62830909250820,6.386155603306180,Fusarium Head Blight
Sunflower,Autumn,33.72791962664090,54.102466384191700,6.05803061689894,37.61241109429880,20.487489798135100,8.131919114870560,Powdery Mildew
Soybean,Spring,16.408961147492400,79.36533611719850,16.22410121826490,55.05784522080140,4.453640944493230,5.889296227910820,Rust
Peanut,Summer,10.3915272319605,32.520335000362200,14.471395321529300,39.640050374157700,5.30679320590588,10.89551964016370,Sheath Blight
Rice,Winter,23.81769710795500,30.48227221189740,49.36098662570600,12.13760881093800,8.260336976098130,5.603024437524930,Sheath Blight
Oat,Spring,32.741408472502800,68.15511479809180,29.837411757598300,28.782444104460500,13.869631363617300,7.82762311823501,Common Rust
Oat,Summer,14.860536091154900,65.3339752439808,46.600334678427600,33.84820847202800,0.3947033057024240,9.950253528435540,Powdery Mildew
Soybean,Spring,17.463904158367800,45.134894373348500,44.49227696470850,33.709688818841700,9.98504166611142,11.662804097829000,Gray Leaf Spot
Cotton,Summer,19.10947291373690,94.07472201095860,10.018141562287100,58.49332820384680,5.119240793159500,7.946112295107240,Gray Leaf Spot
Rice,Autumn,33.94040730735180,73.80551172939230,36.635983332342500,25.660227357808300,4.487016432732990,7.219493983015150,Brown Spot
Oat,Autumn,15.53433644352560,88.38173455452650,28.33846066043070,49.99704381336360,1.5169871720159300,7.67553947870034,Blast
Oat,Winter,21.136556919045100,56.307045505716400,17.256352858717500,44.99779552304770,0.9455394165298340,10.012013809589900,Sheath Blight
Cotton,Winter,25.058733825341100,59.88301704437910,16.131203748914400,37.2798987066172,21.460122576485600,7.785571941489510,Brown Spot
Cassava,Summer,13.70740231606340,69.12696797923210,33.76609116105420,49.37530011246410,23.94238607626410,10.07254882835420,Brown Spot
Corn,Autumn,11.069866760842500,86.38633036902080,40.826535277133400,51.16497043973610,0.854014088031041,5.879201626257640,Common Rust
Rice,Winter,33.596869125998600,39.84821047683430,46.62931165870890,20.00937945537650,20.535512926021700,8.476535501276860,Rust
Sugarcane,Winter,24.73713539189940,68.42489613046160,21.51107951759000,36.15515312898080,22.977597156080200,5.211037648247640,Blast
Sunflower,Winter,30.4326860754871,95.20501407527520,35.91366764558680,59.45408915803560,6.188316211021220,11.62358867882470,Sheath Blight
Corn,Summer,13.300370053530200,90.93699762632090,19.065074988472600,37.46434991160020,21.046684818927800,11.810126700858400,Powdery Mildew
Rice,Autumn,34.942672161316800,92.98622380708320,4.822586695451640,57.3973274533449,1.4840695041333600,5.897245121910040,Fusarium Head Blight
Sorghum,Spring,21.4256334133195,62.37579947792940,47.57460884541350,48.40847310393250,20.66300293523530,7.108627107520950,Fusarium Head Blight
Cassava,Winter,32.670671625713000,79.43143172079500,26.315091382163900,41.00304637817930,22.552379817576300,5.830472171807770,Blast
Wheat,Winter,18.3695497447367,37.13880841096720,10.509059286037200,44.69305397091020,20.094907701757800,8.129239813130100,Sheath Blight
Sunflower,Winter,12.270561870609600,96.98226773759570,48.3786292472074,30.13101431564190,0.4881332807938040,7.01552625385213,Sheath Blight
Sorghum,Summer,15.387092139344900,82.1967281961149,46.00651410245130,19.68524362856370,7.1410703616520900,10.506950549268500,Blast
Millet,Summer,16.20464258037620,90.85875758326030,9.293803729163180,43.057628775698,17.783690868818000,10.759194869397200,Gray Leaf Spot
Millet,Spring,27.69726152023790,75.92392982937620,11.62074187614770,17.905739346469000,4.355802330634840,10.366131648278200,Gray Leaf Spot
Cotton,Autumn,11.94035164348550,54.61515567909980,19.31650681840870,29.204854816628400,5.129121939909000,10.177117957377300,Powdery Mildew
Corn,Summer,18.25320890253390,51.378787835390800,34.61903144964190,17.479665979402600,16.024616242279600,11.798587141121000,Rust
Sunflower,Winter,11.884784803465800,93.10538668891600,44.10033794484210,35.801240702030100,0.08425237421458840,5.4006406067741500,Rust
Oat,Spring,11.609484550346500,81.13341729247880,46.65563985196770,25.748761627348800,2.3415274350469900,5.3898419973278500,Blast
Wheat,Summer,12.147233670449400,39.164190878134800,48.31544877626020,53.738538383650300,0.4486835526997020,6.61450917669978,Blast
Soybean,Winter,13.36364619488040,45.30385871883900,7.391129500050890,10.113009036407100,8.527598176923990,10.672760356330100,Fusarium Head Blight
Lentil,Autumn,13.21514858280790,39.58124061728230,27.01286029666590,52.72536094023400,13.621734268678700,10.17605255402830,Fusarium Head Blight
Oat,Spring,18.82338456228680,32.75131466632550,45.32469549458920,35.57853772104420,0.8450087446067790,9.183172502439630,Gray Leaf Spot
Corn,Winter,27.10030150158300,52.09542725368070,0.5818886635248270,54.38036811797500,24.751285388103400,9.371558657794040,Common Rust
Lentil,Winter,28.87729405268250,62.791756100166400,48.6118170952816,40.09672512137290,1.1464983056353100,7.048842072105300,Northern Corn Leaf Blight
Cotton,Autumn,10.645039171079600,45.03909899183610,6.0056639833866700,38.355706151928300,12.379775503032900,6.7918806655983700,Rust
Peanut,Winter,20.841788891175200,59.89671589705460,28.68081864278330,42.272021860750400,6.887479630936830,6.206277265932670,Brown Spot
Rice,Spring,31.359070906651500,58.78650835905540,1.4221405987148400,45.15787868816910,4.744172729522860,6.235158461782840,Rust
Sunflower,Autumn,19.447984883694900,48.11857204343010,47.35517976934770,10.259248196190000,21.925508844932800,6.119836245329250,Brown Spot
Oat,Summer,25.90880516967300,59.32607310592870,49.051551826354700,10.456392360792000,4.1578036562417200,5.817011365003030,Powdery Mildew
Cotton,Summer,21.86592459029290,54.022690012975500,0.3639140431392850,50.913190901096900,24.8204024623848,5.701955412695610,Sheath Blight
Barley,Winter,34.13688442326460,83.8164024741541,19.336712679244600,57.494962474647000,11.039878639852800,11.79826956121640,Sheath Blight
Cotton,Summer,10.449046551988300,92.52256286298660,44.66946408410390,32.550419684351200,7.349226763394050,11.367446292097200,Sheath Blight
Soybean,Autumn,15.194182583595700,80.7981522056276,33.78663314036870,44.949168867571800,7.719291237504980,8.172057499740690,Fusarium Head Blight
Oat,Spring,11.28430512761980,49.384977137809000,46.49245283236250,37.41199349862680,9.51678181133466,5.932036423690950,Fusarium Head Blight
Corn,Winter,34.65859298640480,51.602378345243700,8.53843960626033,37.5634533434933,13.063477052119700,7.751780090747660,Gray Leaf Spot
Wheat,Winter,24.63596412870950,96.14883643259480,34.121920900707700,50.24320347742690,4.579542379884050,5.448159053853070,Blast
Millet,Winter,23.49377429769680,59.048939315991100,11.363037761260300,13.829154380397300,9.95189051975004,8.384848354046310,Northern Corn Leaf Blight
Sugarcane,Summer,27.20307588539450,31.651108490726200,3.7570190799709200,25.856159945347100,17.368178040399700,7.79579774034854,Common Rust
Millet,Spring,23.911250574361100,33.088474402585900,13.436462802553000,47.808204808621800,7.9780893658689100,6.014733031224890,Brown Spot
Corn,Winter,12.430827757669600,38.700479762544100,44.50906102421790,45.22044648538120,19.928064564999300,11.921726555326100,Brown Spot
Lentil,Autumn,31.977973441804300,83.70727948324250,1.7143161348825800,48.299099697933000,13.110932637222600,9.26707291160994,Fusarium Head Blight
Corn,Autumn,29.448575449051200,55.88758366101360,44.57626484659570,43.06011756374830,4.379095063501430,7.717333901129170,Rust
Lentil,Autumn,10.646867583473800,33.03023556546740,42.802172265756100,44.256476133424900,18.96925901210340,11.043003195995200,Blast
Sugarcane,Spring,32.79774009009970,48.128870616033200,34.23517371404500,30.182456964669100,1.5040167192820600,9.549870502811330,Gray Leaf Spot
Lentil,Summer,31.699241539236600,76.51200254904900,5.9177612745376300,35.98886109150490,14.335363955577700,5.209576140900070,Common Rust
Tomato,Summer,21.44001740036860,40.746957153057600,42.903108395066300,40.195824609728100,1.171587398493560,8.276092114630050,Rust
Oat,Autumn,31.095112129370600,67.03233560787670,47.820060267426600,36.616869397749900,7.125413495703700,9.038282766314550,Blast
Cassava,Autumn,25.870687529414900,35.793003957830200,30.101335412924600,41.3120775746235,24.58645200120810,7.449948034827060,Northern Corn Leaf Blight
Corn,Winter,11.3110887440525,82.29555011956240,3.8737152754002100,27.923403089624400,20.283321595082100,10.7050497844861,Brown Spot
Sunflower,Winter,10.26931272796580,76.2917703939828,23.042775526078600,47.795319058248200,20.672292565664900,7.9715950125131100,Gray Leaf Spot
Sunflower,Winter,30.489045865806300,81.97681438047150,45.18981709323860,38.555270522753200,4.709452931134100,11.24410894458450,Powdery Mildew
Soybean,Summer,31.12140975642060,62.64698716116610,1.751462296146940,51.295820116149,3.597984927249660,10.457719198348500,Northern Corn Leaf Blight
Barley,Autumn,11.72741538927720,82.70692851377650,45.48345063905490,36.270430639125100,3.889339903978460,8.930727570386680,Sheath Blight
Lentil,Spring,15.276186323759200,85.66198295420230,6.109001946141110,39.52190497712750,16.526406263047700,8.640698039583740,Blast
Sorghum,Summer,23.926223906635200,61.6162114069091,25.282014265538700,20.15824581157840,21.53564832979830,9.945448936688210,Sheath Blight
Rice,Winter,11.037653399086300,58.67296672389810,6.415114858699520,53.82827895610950,21.39383404344660,9.553412148187860,Rust
Sunflower,Autumn,28.750798460745600,48.27570539853760,3.041957593342850,20.98910496986800,22.18911172121770,10.675547739435100,Fusarium Head Blight
Cassava,Spring,21.06180282340860,47.33774972265490,42.89220954033090,48.161547776354700,13.068381515110800,6.030378106545420,Sheath Blight
Tomato,Spring,12.397835796838500,33.63293787045640,16.27461236818090,38.12438550686220,11.958176682430800,5.994876817242190,Gray Leaf Spot
Barley,Winter,26.281248982150800,85.34399337647960,19.799229841451800,58.29425027340930,22.71483952592090,5.156350408058310,Brown Spot
Rice,Spring,26.755917928446,56.24280745029460,15.879917245620400,30.463336054378400,23.907251589792500,10.350662954898800,Powdery Mildew
Corn,Winter,20.94756092534060,46.23441481925180,7.8294557166870300,18.95528276744120,6.1958860635150600,10.882381118425700,Fusarium Head Blight
Oat,Summer,22.69286741541700,80.5298501848176,45.25115970873350,46.33096588919700,4.06060887467582,6.36945957250599,Fusarium Head Blight
Soybean,Spring,22.500585065630900,55.17343349158590,44.24698528745520,46.389414128115900,22.92622917940680,10.730463820487300,Brown Spot
Sugarcane,Autumn,29.346666923471400,45.906157097211500,44.28367148594760,32.23724033869710,4.4410304509952300,9.627706533033910,Blast
Peanut,Winter,11.43176288159620,90.63617992208340,0.46230587801268100,13.218307007553600,15.933449034628700,6.196209515807050,Common Rust
Barley,Winter,32.541760270873900,81.53334121173530,41.825501357719000,47.66378746695310,20.885963891137400,6.959663194391310,Rust
Sunflower,Winter,13.312666017574200,44.410282626702400,20.318289618248900,29.053944580304700,11.00411950972720,5.577581974226830,Sheath Blight
Cotton,Summer,20.6859473349536,50.96108957358780,10.848550053613600,32.54763218826090,14.569011027068900,11.150581311669500,Blast
Cassava,Autumn,17.784480219901000,98.00393389741560,43.11035473103960,38.209297893086,21.62328603608300,8.77842924558155,Powdery Mildew
Peanut,Autumn,34.06806532126350,57.285632638247900,16.34939137140790,34.36146763120680,18.195544907760700,6.468807653384100,Gray Leaf Spot
Rice,Autumn,27.448670903004700,93.85712971200840,28.08856398423160,19.39460556797230,24.22686686372640,5.238254590646390,Brown Spot
Tomato,Winter,25.822898879019900,32.82679264993050,15.741429028322700,50.10733305513200,15.823362836895500,5.635224405656230,Powdery Mildew
Millet,Autumn,12.107252198586100,96.3656112249502,2.322691540621240,57.00122413417970,9.237010796035820,11.725343378962400,Brown Spot
Peanut,Spring,22.68860613915090,73.86985905074190,18.58354011835770,56.19475604604120,14.126866567993300,5.952403940718690,Brown Spot
Rice,Winter,31.931554736203300,63.45703307715510,11.95501325204900,20.769941842433600,6.332000465123760,10.395717013639400,Blast
Rice,Summer,30.912395127282400,94.64735099821670,44.76048755608910,46.28464447321710,24.625561523078500,7.841710546766690,Blast
Wheat,Summer,29.33745176884080,62.71398344536390,21.57871307378740,31.006734555846300,16.92969224865470,8.6724479965372,Blast
Tomato,Winter,10.803186528898900,96.16501004721420,10.253136158921700,54.2861741433993,11.523416794308200,10.171214846970500,Fusarium Head Blight
Oat,Summer,34.420095446269900,74.17119357939460,13.156988210112300,15.595639913355700,12.341305087870000,5.5944575454508100,Powdery Mildew
Cotton,Summer,29.132501611210600,48.181118471276500,19.495493319029700,15.953629943952500,8.101345005367090,5.6346834674966600,Fusarium Head Blight
Sunflower,Summer,16.660443938162100,53.81022087698070,4.1844620652077200,14.43000966027080,4.596189496381600,6.9556548998821400,Brown Spot
Peanut,Spring,25.780562434345600,54.51926208127570,35.95774497100110,41.17707018018190,5.017850055061130,11.678342759563200,Powdery Mildew
Tomato,Autumn,32.19918534496790,75.41639963671500,36.216281542648900,55.3514298001105,14.412322219639100,7.568754568206470,Common Rust
Soybean,Autumn,11.071808805882300,36.42509707852390,22.945097247004500,26.86568637562340,17.78510482883580,8.106299736656470,Blast
Tomato,Spring,24.434243405818400,80.77341244005570,11.46377490728060,46.44726032468430,2.614284744645910,9.01238845265705,Common Rust
Cassava,Summer,14.379917030784100,55.70964231027200,25.481347691086000,15.102440994823400,15.446708191618800,11.309106521783000,Powdery Mildew
Lentil,Winter,16.247599605488500,79.93211375706670,6.789866552891480,40.72096041246840,23.223167041977400,10.679723042054100,Sheath Blight
Millet,Summer,15.541399104699000,87.28670552024950,28.052128549672000,31.226594092705800,18.60444124011270,11.271087578479600,Gray Leaf Spot
Lentil,Winter,10.963700388547400,71.96820412021440,29.482689513618200,34.58867222134440,16.14570993798060,11.728441979286300,Rust
Cotton,Spring,10.469928832046200,50.32492986422040,46.16115064096940,42.962439062460100,10.121675106988900,5.232052966635700,Common Rust
Tomato,Summer,32.15559451430830,47.95398125567170,13.067338372779600,47.83341107753270,21.94555830443200,6.004248268283570,Brown Spot
Sorghum,Autumn,12.822861305575600,39.66787422965920,27.000301398005100,42.32107030266080,5.681148465369200,5.276784656483600,Sheath Blight
Oat,Summer,29.474756894604400,69.57912622303780,42.768222953691000,59.36118520013970,13.549153671775000,6.161880610378070,Powdery Mildew
Sugarcane,Autumn,33.75658744347920,58.13315852272920,38.0293268504498,47.34483531007420,3.3490033952784100,6.122338103535680,Northern Corn Leaf Blight
Sugarcane,Summer,22.27851393392880,48.524927469653300,28.16530181967570,40.42894090025990,17.130935913995800,11.14272002906950,Powdery Mildew
Oat,Autumn,30.01109413609470,83.19315048943080,28.0561740303335,32.697262126808900,3.8674620800317700,5.551154627635500,Sheath Blight
Corn,Winter,23.16167019379250,77.57403639642030,18.38520789690110,48.02921737401210,16.743741619892700,11.212857766083900,Sheath Blight
Sugarcane,Spring,15.735210762992900,76.3282311702312,4.446492825572450,12.261177031205600,22.02707330468970,10.183507206358400,Common Rust
Sunflower,Autumn,34.37995772376150,74.12006716089820,47.81796905995990,21.324398657233500,6.633053044244540,7.580429250279340,Gray Leaf Spot
Sunflower,Autumn,24.06442504176930,98.96484319664950,13.589891852056900,58.10025800325990,21.07397630835710,7.074405641348290,Brown Spot
Tomato,Autumn,10.533115747656400,77.27963375967600,25.09286800429210,49.551926674258100,5.210829396423090,8.534441022566650,Sheath Blight
Lentil,Spring,11.030671732893100,89.50898263934820,3.869317255325540,20.042833764010800,11.58025028475810,8.71069274717513,Brown Spot
Barley,Spring,13.877495191771900,33.28401232236100,45.881134854010700,16.95990876239710,24.764437222516900,6.574337649603430,Powdery Mildew
Soybean,Autumn,33.33965939866560,79.3535660308054,48.34987565089600,57.157945527271700,13.918196419974500,5.529065847975580,Brown Spot
Cotton,Winter,30.4636968653466,94.74463285955840,1.0007522209800600,29.12819215136870,17.336674475293900,5.0152832339545200,Fusarium Head Blight
Cassava,Winter,29.0913635731355,35.63476628858110,27.2224966757095,38.077837764781500,10.147379466362800,6.961142607848960,Fusarium Head Blight
Millet,Summer,18.925388791582100,48.12363631678870,12.308671015897300,57.32690222748770,2.599965217773030,8.544003463342150,Rust
Soybean,Spring,12.147007885749900,83.33975658782760,17.352061188411400,30.54022375960530,3.554336994073700,5.110668774118150,Fusarium Head Blight
Corn,Autumn,15.990451052414000,68.15934221868760,40.47197695152120,23.465126734365800,4.422965967249660,6.050446420144270,Northern Corn Leaf Blight
Soybean,Autumn,20.629063641248300,31.048654770437400,3.3983376923651100,54.58896942758000,3.7456242073038000,6.43373285161151,Sheath Blight
Cotton,Spring,18.767502394522500,39.13991772674320,49.87065810502040,54.15766368260440,8.064732731080280,7.905637225295740,Rust
Corn,Autumn,22.042234706222400,35.4017258230689,7.649562979710530,21.166665446438500,18.184965190024300,8.027122391077170,Brown Spot
Corn,Autumn,25.27350660256310,36.35036938434080,42.723957635642800,46.178928968552400,3.886688847226710,6.355692433572280,Sheath Blight
Oat,Winter,19.101581787681100,69.64925087553090,25.272838304342000,22.630017112266000,21.984872604161500,11.241554241971500,Powdery Mildew
Soybean,Spring,30.939081323641900,59.01171929017520,3.805736105075100,54.60459497454950,22.4742786921752,8.689132857643300,Blast
Cassava,Spring,34.71802977211150,68.58450869478530,7.359842039649810,24.282716567955800,21.823742417393200,7.836024024216400,Brown Spot
Sunflower,Winter,18.813680666769100,78.81149261663010,45.165321206366700,36.918805299279200,7.245036597880080,7.3147932246109200,Common Rust
Sorghum,Autumn,11.05680144296510,60.8634110685352,45.61413230612530,52.924852174943400,2.287247447714160,7.079761004384810,Brown Spot
Peanut,Summer,11.607675731035800,49.442562284246100,23.517851784690200,33.73814007439250,11.573248174629600,10.174503727421800,Powdery Mildew
Sunflower,Spring,12.90619237408420,96.18370643012330,20.763379737108800,31.85499974360250,5.7999331235781400,7.0739552699426500,Northern Corn Leaf Blight
Corn,Autumn,17.965378276290400,84.16722588704550,38.91998466423890,53.24268919331210,23.67198243885560,10.763634750360200,Common Rust
Corn,Summer,28.8172775325259,51.039804268124000,6.641771228289170,32.9501108860576,14.995832568170100,8.845024383042870,Common Rust
Soybean,Spring,24.486925192005100,40.13551231818760,6.765155756905240,11.246206167340100,6.362172384153040,5.228039132060390,Rust
Cassava,Winter,24.79943405204180,96.95683971899690,46.94109109380100,22.99871744772170,15.206648949534600,9.64606912684734,Blast
Sorghum,Autumn,15.467832921869600,42.222921912085000,28.484196599131900,34.52299812621620,17.413032133412100,9.438117039102740,Sheath Blight
Soybean,Autumn,19.880756393267400,52.819218505954600,13.627923820047300,18.175905390428500,21.07306272337390,10.082860013197800,Rust
Corn,Winter,18.429450771962200,85.8193690152402,7.459475134655610,45.95720048139270,13.138335010920700,9.557474848251240,Fusarium Head Blight
Cotton,Summer,31.347517309019100,60.224062206562000,10.488343961415400,52.82511411805330,13.44171813519920,6.479158389814760,Fusarium Head Blight
Tomato,Summer,18.104404805487500,54.59123545543280,36.9910746556904,21.113888113805700,14.43816933071930,6.423445947737260,Blast
Barley,Winter,22.759293832277400,96.49750910593470,47.2446513930044,23.026421961405300,14.989785422016200,6.1369769165785800,Powdery Mildew
Tomato,Autumn,32.93762559347760,45.75693461947820,8.763912026198690,49.139227775605400,18.84868712343360,5.647462279281680,Fusarium Head Blight
Tomato,Summer,17.07576618123510,99.30262367604970,45.08343163702770,14.630224823631600,5.755738072294920,6.698553630960750,Northern Corn Leaf Blight
Oat,Spring,18.912828587852200,82.89574365917920,29.670020908663,56.559221645512700,16.605463849863400,9.417346822747860,Gray Leaf Spot
Sugarcane,Autumn,18.79514129369060,61.14788345667390,22.232380141395400,54.02546304131220,21.004176403477000,7.192241086461850,Brown Spot
Soybean,Spring,31.074206089643100,67.57879275737420,32.65741357158310,40.23777795413400,8.617710828181110,10.360703291397500,Brown Spot
Sugarcane,Summer,11.1987446932606,92.20870580882300,15.514572984926400,59.43149734389010,10.25255990987240,8.426017525575780,Sheath Blight
Oat,Autumn,27.402055529735100,42.69950699602110,14.030166675924200,47.98034441493950,11.119407624894900,7.574274119082520,Powdery Mildew
Peanut,Spring,26.131512312370500,69.89167526575320,26.38425522047530,47.797030135611200,21.141384155038900,11.044104937997700,Brown Spot
Millet,Spring,25.137008034975100,55.36035906849230,18.32816833261350,47.71022499182450,12.058288360350100,7.173519753348380,Rust
Cassava,Winter,17.00496105302400,98.85125975909280,29.86389761457650,59.04630905590740,15.002130476111600,7.738589778053120,Northern Corn Leaf Blight
Soybean,Winter,14.50483490625130,80.50153912485660,18.996070093385300,42.126709482072100,18.988491697563900,9.48433287682702,Brown Spot
Sugarcane,Autumn,12.596503397876300,33.37214159857290,17.490972726335600,57.52189574392140,11.709684234637500,5.95553514490493,Common Rust
Barley,Autumn,17.98641858933840,48.99833376126830,9.01767247081941,24.757251844074600,3.2173908758353800,8.292050523299630,Brown Spot
Barley,Spring,27.635881893641400,91.57069284697230,21.538411138525300,16.661823257182300,22.858887729779200,11.410027039392000,Powdery Mildew
Wheat,Spring,25.08931450396680,62.72423415178190,11.958686236943400,16.30305285240270,17.217336286845200,7.983286417342490,Fusarium Head Blight
Cassava,Autumn,15.561482101798500,98.66192043230450,39.315636836170400,39.441140223646000,20.21908128677920,9.86317353338374,Northern Corn Leaf Blight
Rice,Spring,34.36455270853720,33.73934685054200,18.15961283880290,53.31654870335000,18.929427686810400,11.055144250311500,Powdery Mildew
Wheat,Winter,21.05266383526500,65.24014697733100,10.648096182308100,55.88535257163810,17.34154600875190,5.237454902175200,Fusarium Head Blight
Sunflower,Autumn,24.1607039706496,59.91766483229620,46.22942846048060,21.822712500398500,1.7809177362439700,10.923722620392900,Gray Leaf Spot
Soybean,Winter,29.722063637774900,61.4472083523209,18.493997146033100,54.26137825993450,10.420643746462400,9.844943103270280,Fusarium Head Blight
Barley,Winter,10.34480646675190,50.11835211605840,40.145788837919000,27.733417969111400,7.020807087210530,11.291893839129800,Gray Leaf Spot
Lentil,Autumn,12.628120917765700,36.05154315829100,37.056478371668600,14.933202825503800,13.474908032261800,8.419242375776490,Northern Corn Leaf Blight
Sorghum,Spring,15.651180919631000,40.35822892149630,23.79238537746560,51.19828642003820,19.307003020209100,11.188762846273700,Sheath Blight
Cotton,Autumn,16.48469710662680,46.06258626255170,34.40997137169070,18.84787602454990,22.67607149870320,9.332184078097100,Common Rust
Lentil,Autumn,30.3247192336065,46.24451135177470,39.86436396460800,16.558437070616500,10.621298051128300,9.462782863253750,Gray Leaf Spot
Sorghum,Winter,34.725656863203400,71.699127461854,47.67878367914240,45.42305961033810,21.90943754757090,9.664000562818110,Sheath Blight
Cassava,Summer,22.774098205063500,85.42626073989040,48.095760647424500,39.715932423194300,1.492660953644680,11.840495677163200,Northern Corn Leaf Blight
Cassava,Winter,20.26896241979370,35.83608605377860,5.3297303302069200,11.629666140425500,18.96840454100740,7.850002360123930,Rust
Lentil,Spring,16.113356119725600,33.369356812941100,32.69237400430440,25.80411657318140,18.78033649736510,7.921960501563590,Fusarium Head Blight
Sorghum,Autumn,20.36043343918450,71.34282487484640,21.481656258619900,11.06598240863490,0.8921424964078130,7.746692847290610,Sheath Blight
Barley,Autumn,10.913614120692800,72.69637724785720,40.33183697874050,59.147348513686300,5.3118143960327500,7.751351842874220,Sheath Blight
Cotton,Winter,12.85487355463420,54.55142456439240,3.1735821846313200,30.904379778704500,20.033243508791800,10.165304215519600,Fusarium Head Blight
Cassava,Summer,23.628953338454600,97.01571066420300,19.996389470802700,34.5623163499719,2.6052569146330800,10.23965347330340,Northern Corn Leaf Blight
Cassava,Winter,28.393221861096100,96.64609149572260,15.969332045134100,16.69084467359140,12.691347383790500,10.242757052334300,Fusarium Head Blight
Peanut,Spring,19.06793319066450,69.12742144329250,37.32083916482130,58.5639553043781,8.698403505474540,11.665432790362900,Powdery Mildew
Millet,Autumn,27.078415272321900,71.12641418659210,0.8986161512209880,25.941372773847100,13.869681966787900,8.479043493995030,Common Rust
Rice,Autumn,27.17252305637020,51.63034301992200,31.92861452008160,39.30919848504740,3.114371516009980,5.734439789128590,Common Rust
Sunflower,Spring,21.593767025094600,38.969606853707900,43.112217943599600,11.924822448846200,13.387179944139900,11.859197108137600,Gray Leaf Spot
Wheat,Autumn,10.53788338814580,56.76788315147100,43.201593940010800,11.642592146279700,20.01046230979910,9.772560755115030,Blast
Tomato,Autumn,32.39639897554090,66.09501040078980,34.060495095537900,51.362645767284100,19.010308344307300,7.206183938441150,Powdery Mildew
Lentil,Winter,27.775121419771300,81.734578429355,20.166922712325900,42.51840195945990,12.695982123707900,6.813298845255090,Northern Corn Leaf Blight
Oat,Winter,11.683297415918700,62.36133406987050,3.677376626919570,18.216954908814800,18.072232454993100,11.346039505502900,Gray Leaf Spot
Sorghum,Spring,23.121955205373600,80.37604747242800,13.571541093999100,30.422902914643900,3.966741383967410,7.562254425284430,Northern Corn Leaf Blight
Cotton,Summer,18.816762996978100,87.14081950967550,38.94874750455590,12.032052150782800,7.378447447222580,7.040586026182460,Common Rust
Millet,Autumn,29.421730454146300,37.8913261851492,33.52218215493490,11.84818381345820,19.87948682170640,9.019861328354020,Powdery Mildew
Cotton,Spring,30.256190932719200,30.44752968514220,36.1829620068168,23.492786771547300,5.191874280228310,7.290629127358210,Powdery Mildew
Cassava,Summer,19.819941000085600,68.58256745204260,47.495661656108400,55.09852037451080,0.5896361425119070,9.93482166510238,Sheath Blight
Oat,Winter,14.03333391499140,68.80799715207360,1.6315157827954000,21.091371509453700,1.30678658312747,7.719108361773910,Gray Leaf Spot
Sunflower,Autumn,21.8932461134441,76.86933939273000,3.288284747826780,16.89925878011560,13.021148072626100,6.975794960489260,Powdery Mildew
Cassava,Spring,26.753403986602800,55.00891880440110,43.815088653768000,45.12487875797730,21.06155560036490,8.510464964752840,Gray Leaf Spot
Wheat,Winter,28.22683695985370,77.33911388017680,38.27045115897930,14.425681712896900,7.29004524547929,9.876153971884990,Gray Leaf Spot
Sunflower,Autumn,16.36087219606540,30.860112813035800,35.54309890341110,38.76118934187770,3.3398350280921000,10.209462744351100,Blast
Cassava,Winter,11.57137199849650,75.24539764657310,6.756266647189300,18.89002449202030,23.390701809268500,7.499952299808460,Powdery Mildew
Millet,Summer,17.0837938052117,91.86512873028870,41.25819439550360,15.466497006232800,22.832268476900000,9.768210954279170,Common Rust
Lentil,Summer,14.915458231653200,85.25210386544300,27.57980958855300,20.63737303081410,24.055033757899800,6.700272977998790,Gray Leaf Spot
Soybean,Winter,10.909037983260500,89.20830255857860,28.92549303846590,13.805236424851600,4.431292730947070,7.704600177784890,Sheath Blight
Millet,Autumn,21.767931229939800,72.80171509450370,43.842733839047700,46.138503476168700,18.641163543751400,10.485163393181300,Sheath Blight
Barley,Autumn,21.391846479229200,35.21539129422260,24.368593150789800,46.33186358258180,20.862092231060000,11.37663598032880,Rust
Soybean,Winter,16.472557645692700,76.59712864511750,31.414706278114000,43.39534200869390,4.873367106040170,7.4515165583883900,Northern Corn Leaf Blight
Millet,Spring,24.99467691103980,74.59877692163990,9.275897843598670,47.37051163568390,8.13171617275629,10.328927645050400,Powdery Mildew
Soybean,Winter,27.751037137062100,60.120612169973400,41.5661422145898,41.11915499150940,10.07644202844250,9.285093043966680,Rust
Cotton,Spring,26.16387004352470,71.76909613379590,14.359243879518500,13.453854462900000,6.27750641851019,5.423842449088100,Brown Spot
Lentil,Summer,32.59699360058220,84.03008424241410,49.59336996236300,57.101613428447300,7.090325634648830,5.297585087061130,Blast
